State,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,ConvertedLot,MarketEstimate,Price
AL,36571,30.819534,-88.09596,4,2.0,1614,0.3805,240600,239900
AL,35907,33.88105,-86.012436,3,2.0,1474,0.67033976,186700,1
AL,35043,33.357986,-86.6087,3,3.0,2224,0.26,336200,335000
AL,36117,32.372746,-86.165115,3,2.0,1564,0.2,150500,151000
AL,35957,34.210014,-86.13669,3,2.0,1717,0.38,238400,239000
AL,35950,34.2754,-86.21792,3,2.0,1674,0.3443526,248000,249900
AL,36619,30.595074,-88.20307,3,3.0,2190,0.3443,294000,295000
AL,36607,30.693125,-88.087814,3,2.0,1194,0.1971,148300,150000
AL,36109,32.39595,-86.269714,3,2.0,2196,0.61,124700,169000
AL,36575,30.774414,-88.257675,3,1.0,1100,1.0,158200,160000
AL,35118,33.524075,-87.00953,3,2.0,1410,0.34,78300,79900
AL,36617,30.702614,-88.08904,6,4.0,3036,0.141,154100,164000
AL,36116,32.273514,-86.25934,3,3.0,3693,6.9,188300,200000
AL,35810,34.750492,-86.62149,3,2.0,1532,0.26418734,218300,219000
AL,36532,30.504227,-87.874535,4,3.0,2410,0.27,407800,409800
AL,36867,32.472347,-85.009224,3,2.0,1188,0.17,148400,150000
AL,35759,34.87313,-86.58187,3,2.0,1679,0.15,284000,285000
AL,35133,33.78361,-86.630005,2,2.0,1600,4.87,178600,180000
AL,36618,30.717815,-88.147285,3,2.0,1296,0.1016,170100,175000
AL,36856,32.27377,-84.99826,5,4.0,3051,0.35,307100,312000
AL,36608,30.70528,-88.17934,4,5.0,1598,0.426,143300,150000
AL,35565,34.23136,-87.618965,3,2.0,1450,0.38567492,173600,179900
AL,36301,31.201424,-85.413605,3,1.0,1458,0.35376492,141000,143000
AL,36305,31.2081,-85.44741,3,2.0,1375,0.25,205400,199900
AL,35803,34.63312,-86.536224,4,2.0,1999,0.29,304800,305000
AL,36535,30.404478,-87.67821,3,2.0,1752,26.0,285800,289900
AL,35007,33.22804,-86.83084,3,3.0,1880,0.27,283600,279900
AL,35043,33.354427,-86.59509,3,2.0,1425,1.82,280200,279000
AL,35756,34.69121,-86.78906,4,3.0,2354,0.21,364700,365000
AL,36604,30.681978,-88.07807,3,1.0,1490,0.1576,235000,235000
AL,35802,34.660194,-86.5568,4,3.0,2875,0.46,382400,399900
AL,35007,33.257935,-86.80834,3,2.0,1808,0.47,239400,240000
AL,35750,34.97667,-86.65006,3,2.0,1976,0.56,125400,135000
AL,36604,30.685225,-88.0755,3,2.0,2455,0.1739,488700,489000
AL,36507,30.810877,-87.80625,3,2.0,1859,3.0,194500,209900
AL,35904,34.057,-86.01735,3,3.0,2542,1.43,347100,349900
AL,35456,33.118427,-87.47632,4,3.0,3556,2.0,182000,179900
AL,35816,34.7451,-86.612724,3,2.0,1320,1.0,166800,179000
AL,36605,30.6478,-88.08221,5,4.0,1505,0.1836,127600,129900
AL,36608,30.71276,-88.191345,4,2.0,1034,0.1825,120700,122000
AL,36303,31.240427,-85.43404,3,2.0,1664,0.0,165000,175000
AL,36303,31.257858,-85.4552,5,3.0,2472,0.45798898,263800,269000
AL,35080,33.27857,-86.830025,3,2.0,2190,0.4,279600,274800
AL,35952,34.039066,-86.319916,4,1.0,2029,47.0,396000,1
AL,36542,30.232487,-87.977135,3,3.0,1265,0.1435,404700,422000
AL,36695,30.635536,-88.270996,3,3.0,1888,0.4007,250400,249900
AL,36619,30.582676,-88.18447,4,2.0,1807,0.3432,197700,249900
AL,35758,34.700047,-86.76704,5,5.0,3923,0.4,674500,674900
AL,36535,30.404423,-87.67775,3,2.0,1361,0.233,237500,240000
AL,36693,30.637695,-88.179756,3,2.0,1319,0.2308,165200,164900
AL,35901,33.9528,-86.032166,3,3.0,2912,1.0162,368100,1
AL,35126,33.768818,-86.62087,4,3.0,2430,0.02,239500,240000
AL,36330,31.317612,-85.91449,3,1.0,1025,1.4,96200,104900
AL,35811,34.79965,-86.48301,4,4.0,3510,0.48,599500,600000
AL,35801,34.721184,-86.550224,5,4.0,3320,0.45,296800,310000
AL,36555,30.405363,-87.77882,3,2.0,1088,0.33,247200,250000
AL,36551,30.63612,-87.78366,3,2.0,1428,0.173,234700,235900
AL,35007,33.203835,-86.80198,5,3.0,2660,0.61,391400,439000
AL,36695,30.675133,-88.23147,4,3.0,1792,0.7467,159200,160000
AL,36608,30.712626,-88.19037,3,2.0,1222,0.2289,110300,110000
AL,36330,31.295835,-85.833595,3,2.0,1336,0.46,165800,167500
AL,35055,34.17533,-86.83396,3,2.0,1341,0.22,263700,265000
AL,36606,30.680765,-88.10756,3,2.0,1660,1.0,127800,130000
AL,35405,33.178677,-87.47292,4,3.0,2600,0.47,309400,319900
AL,36618,30.714804,-88.147964,3,2.0,1515,0.2365,227800,227900
AL,36526,30.65488,-87.892334,3,2.0,1704,0.24,223200,225000
AL,35206,33.57317,-86.68901,4,3.0,5470,0.36,196400,200000
AL,36303,31.26417,-85.422714,2,2.0,1476,0.2,165200,166900
AL,36360,31.442524,-85.60594,8,4.0,3150,1.9,198000,199000
AL,35217,33.588623,-86.73935,4,3.0,4110,1.09,138200,139900
AL,36067,32.428448,-86.45171,3,2.0,1522,0.13,225400,226500
AL,36345,31.333715,-85.39057,3,3.0,2128,1.12,50300,195000
AL,36352,31.332989,-85.599846,3,2.0,1568,0.49,136300,139391
AL,35062,33.748173,-86.981186,3,2.0,1642,2.7,255500,274500
AL,35216,33.41161,-86.79205,4,3.0,2504,0.67,383100,375000
AL,36526,30.637468,-87.89588,5,2.0,1925,0.11,292900,295000
AL,35613,34.793026,-86.93592,4,4.0,2670,0.5803026,376000,0
AL,36610,30.740385,-88.093895,3,1.0,1245,0.1506,48500,50000
AL,36608,30.68334,-88.198875,4,3.0,2238,0.2969,199700,200000
AL,35098,34.12248,-87.05896,3,2.0,1272,1.2,251200,250000
AL,36541,30.476803,-88.33238,3,2.0,1293,0.466,187300,195000
AL,35405,33.056057,-87.570274,3,3.0,1205,1.5,184800,189000
AL,36582,30.50111,-88.165405,4,2.0,2156,2.2311,447600,449999
AL,36874,32.667465,-85.18102,4,3.0,1976,0.73,155200,158000
AL,36587,30.877403,-88.30783,3,2.0,2000,0.4655,93200,99900
AL,35824,34.660786,-86.73575,3,3.0,2519,0.14,374400,375000
AL,36693,30.620256,-88.145485,3,2.0,1224,0.1541,179200,180000
AL,35904,34.023613,-86.0518,4,2.0,1295,0.1721763,95100,130000
AL,36330,31.30808,-85.871994,3,1.0,1242,0.34,133700,135000
AL,36093,32.53193,-86.11993,4,3.0,3202,3.57,360700,380000
AL,36105,32.337,-86.29974,3,2.0,1428,0.26,127500,129900
AL,35215,33.66169,-86.67905,1,1.0,741,0.0,58500,59900
